Token,BIO_Tag
kegiatan,O
lain,O
antara,O
lain,O
untuk,O
biaya,O
operasional,O
proyek,O
PT,O
Ide,O
Cipta,O
Realti,O
pengembalian,O
hutang,O
pemegang,O
saham,O
atas,O
nama,O
Terdakwa,O
dengan,O
menggunakan,O
cek,O
Bank,O
BCA,O
dan,O
juga,O
untuk,O
kepentingan,O
pribadi,O
Terdakwa,O
sendiri,O
dan,O
Saksi,O
Harry,O
H,O
Goenawidjaja,O
dengan,O
adanya,O
transaksitransaksi,O
keuangan,O
Terdakwa,O
seperti,O
pembayaran,O
kartu,O
kredit,O
pembayaran,O
sewa,O
apartemen,O
angsuran,O
mobil,O
dan,O
pembayaran,O
kartu,O
kredit,O
w,O
Bahwa,O
alasan,O
kasasi,O
Terdakwa,O
yang,O
selebihnya,O
tidak,O
dapat,O
dibenarkan,O
karena,O
mengenai,O
penilaian,O
hasil,O
pembuktian,O
yang,O
bersifat,O
penghargaan,O
tentang,O
suatu,O
kenyataan,O
Hal,O
tersebut,O
tidak,O
dapat,O
dipertimbangkan,O
dalam,O
pemeriksaan,O
pada,O
tingkat,O
kasasi,O
karena,O
pemeriksaan,O
pada,O
tingkat,O
kasasi,O
hanya,O
berkenaan,O
dengan,O
tidak,O
diterapkannya,O
suatu,O
peraturan,O
hukum,O
atau,O
peraturan,O
hukum,O
tidak,O
diterapkan,O
sebagaimana,O
mestinya,O
atau,O
apakah,O
cara,O
mengadili,O
tidak,O
dilaksanakan,O
menurut,O
ketentuan,O
undang,O
undang,O
dan,O
apakah,O
pengadilan,O
telah,O
melampaui,O
batas,O
wewenangnya,O
sebagaimana,O
yang,O
dimaksud,O
dalam,O
Pasal,O
253,O
Ayat,O
1,O
KUHAP,O
Terhadap,O
alasan,O
kasasi,O
Pemohon,O
Kasasi,O
IPenuntut,O
Umum,O
1,O
Bahwa,O
alasan,O
kasasi,O
Penuntut,O
Umum,O
dapat,O
dibenarkan,O
karena,O
putusan,O
judex,O
facti,O
Pengadilan,O
Tinggi,O
yang,O
mengubah,O
putusan,O
judex,O
facti,O
Pengadilan,O
Negeri,O
yang,O
menyatakan,O
Terdakwa,O
terbukti,O
bersalah,O
melakukan,O
tindak,O
pidana,O
Turut,O
serta,O
dalam,O
penggelapan,O
pada,O
dakwaan,O
Kesatu,O
namun,O
membebaskan,O
Terdakwa,O
dari,O
dakwaan,O
Kedua,O
tidak,O
tepat,O
dan,O
salah,O
menerapkan,O
hukum,O
atau,O
tidak,O
menerapkan,O
hukum,O
sebagaimana,O
mestinya,O
karena,O
putusan,O
judex,O
facti,O
Pengadilan,O
Tinggi,O
dibuat,O
berdasarkan,O
kesimpulan,O
dan,O
pertimbangan,O
hukum,O
yang,O
tidak,O
berdasarkan,O
pada,O
fakta,O
hukum,O
yang,O
relevan,O
secara,O
yuridis,O
yang,O
terungkap,O
di,O
persidangan,O
N,O
Bahwa,O
menurut,O
keterangan,O
para,O
saksi,O
dan,O
keterangan,O
Terdakwa,O
dihubungkan,O
dengan,O
barangbarang,O
bukti,O
di,O
persidangan,O
yang,O
satu,O
dengan,O
lainnya,O
saling,O
mendukung,O
diperoleh,O
fakta,O
bahwa,O
pada,O
tahun,O
2017,O
Ancora,O
Group,O
yang,O
diwakili,O
oleh,O
Saksi,O
Tommy,O
Hermin,O
Santoso,O
selaku,O
Direktur,O
Utama,O
PT,O
MAJ,O
Bekasi,O
Sejahtera,O
dan,O
Saksi,O
Juanto,O
Salim,O
bersama,O
dengan,O
PT,O
Ide,O
Cipta,O
Realti,O
yang,O
diwakili,O
oleh,O
Terdakwa,O
selaku,O
Direktur,O
Utama,O
PT,O
Ide,O
Cipta,O
Realti,O
dan,O
Saksi,O
Harry,O
H,O
Goenawidjaja,O
selaku,O
Komisaris,O
Utama,O
PT,O
Ide,O
Cipta,O
Realti,O
telah,O
sepakat,O
melakukan,O
w,O
n,O
kerja,O
sama,O
dengan,O
PT,O
MAJ,O
Bekasi,O
Sejahtera,O
untuk,O
pengadaan,O
pembebasan,O
lahan,O
milik,O
Saksi,O
Sugiono,O
seluas,O
32,O
tiga,O
koma,O
dua,O
hektar,O
untuk,O
melakukan,O
pembangunan,O
apartemen,O
di,O
Jalan,O
Alternatif,O
Cibubur,O
dengan,O
porsi,O
masingmasing,O
pihak,O
50946,O
lima,O
puluh,O
persen,O
dari,O
seluruh,O
modal,O
kerja,O
yang,O
dibutuhkan,O
Hal,O
tersebut,O
dituangkan,O
dalam,O
Akta,O
Kesepakatan,O
Bersama,O
dan,O
dana,O
yang,O
dibutuhkan,O
untuk,O
uang,O
muka,O
pengadaan,O
lahan,O
dengan,O
pemilik,O
lahan,O
sejumlah,O
Rp7000000000000,O
tujuh,O
puluh,O
miliar,O
rupiah,O
yang,O
akan,O
dibayarkan,O
dalam,O
beberapa,O
tahap,O
kepada,O
pemilik,O
lahan,O
Bahwa,O
kemudian,O
PT,O
MAJ,O
Bekasi,O
Sejahtera,O
melakukan,O
transfer,O
dana,O
secara,O
bertahap,O
ke,O
rekening,O
Bank,O
Panin,O
Nomor,O
1005648642,O
atas,O
nama,O
PT,O
Ide,O
Cipta,O
Realti,O
sejumlah,O
Rp3902614520000,O
tiga,O
puluh,O
sembilan,O
miliar,O
dua,O
puluh,O
enam,O
juta,O
seratus,O
empat,O
puluh,O
lima,O
ribu,O
dua,O
ratus,O
rupiah,O
Namun,O
ternyata,O
tidak,O
diserahkan,O
sepenuhnya,O
kepada,O
Saksi,O
Sugiono,O
melainkan,O
hanya,O
sebesar,O
Rp750000000000,B-MONEY
tujuh,O
miliar,O
lima,O
ratus,O
juta,O
rupiah,O
sehingga,O
kesepakatan,O
tersebut,O
menjadi,O
batal,O
dan,O
cek,O
yang,O
diberikan,O
oleh,O
Terdakwa,O
tidak,O
bisa,O
dicairkan,O
karena,O
tidak,O
ada,O
dananya,O
Bahwa,O
karena,O
adanya,O
pengembalian,O
hutang,O
PT,O
Ide,O
Cipta,O
Realti,O
kepada,O
pemegang,O
saham,O
dan,O
PT,O
Ide,O
Cipta,O
Realti,O
belum,O
mendapatkan,O
dana,O
sehingga,O
PT,O
Ide,O
Cipta,O
Realti,O
menggunakan,O
dana,O
dari,O
PT,O
MAJ,O
sejumlah,O
Rp3902614520000,O
tiga,O
puluh,O
sembilan,O
miliar,O
dua,O
puluh,O
enam,O
juta,O
seratus,O
empat,O
puluh,O
lima,O
ribu,O
dua,O
ratus,O
rupiah,O
untuk,O
keperluan,O
di,O
luar,O
Akta,O
Kesepakatan,O
Bersama,O
Nomor,O
13,O
tanggal,O
14,O
Mei,O
2018,O
sehingga,O
menimbulkan,O
keterlambatan,O
pembayaran,O
kepada,O
Saksi,O
Sugiono,O
selaku,O
pemilik,O
lahan,O
di,O
Cibubur,O
Bahwa,O
menurut,O
Terdakwa,O
dan,O
Harry,O
H,O
Goenawidjaja,O
pembelian,O
lahan,O
tetap,O
berjalan,O
dan,O
pada,O
saat,O
itu,O
melampirkan,O
tanda,O
terima,O
yang,O
seolah,O
olah,O
PT,O
Ide,O
Cipta,O
Realti,O
sudah,O
menyerahkan,O
cek,O
Bank,O
Panin,O
masing,O
masing,O
Nomor,O
BA322787,O
senilai,O
Rp1200000000000,O
dua,O
belas,O
miliar,O
rupiah,O
Nomor,O
BA322788,O
senilai,O
Rp1400000000000,O
empat,B-MONEY
belas,I-MONEY
miliar,I-MONEY
rupiah,I-MONEY
dan,O
Nomor,O
BA322790,O
senilai,O
Rp3900000000000,O
tiga,B-MONEY
puluh,I-MONEY
sembilan,I-MONEY
miliar,I-MONEY
rupiah,I-MONEY
kepada,I-MONEY
pemilik,I-MONEY
lahan,I-MONEY
yang,I-MONEY
diwakili,I-MONEY
oleh,I-MONEY
Saksi,I-MONEY
Sunardi,I-MONEY
namun,I-MONEY
ternyata,I-MONEY
Saksi,I-MONEY
Sunardi,I-MONEY
tidak,I-MONEY
pernah,I-MONEY
menerima,I-MONEY
cek,I-MONEY
tersebut,I-MONEY
Bahwa,I-MONEY
PT,I-MONEY
MAJ,I-MONEY
Bekasi,I-MONEY
Sejahtera,I-MONEY
meminta,I-MONEY
pertanggungjawaban,I-MONEY
PT,I-MONEY
Ide,I-MONEY
Cipta,I-MONEY
Realti,I-MONEY
untuk,I-MONEY
mengembalikan,I-MONEY
dana,I-MONEY
yang,I-MONEY
telah,I-MONEY
ditransfer,I-MONEY
namun,I-MONEY
sampai,I-MONEY
dengan,I-MONEY
perkara,I-MONEY
a,I-MONEY
guo,I-MONEY
dilaporkan,I-MONEY
dana,I-MONEY
tersebut,I-MONEY
tidak,I-MONEY
dikembalikan,I-MONEY
juga,I-MONEY
Bahwa,I-MONEY
ternyata,I-MONEY
Terdakwa,I-MONEY
bersama,I-MONEY
dengan,I-MONEY
Saksi,I-MONEY
Harry,I-MONEY
H,I-MONEY
Goenawidjaja,I-MONEY
menggunakan,I-MONEY
dana,I-MONEY
PT,I-MONEY
MAJ,I-MONEY
Bekasi,I-MONEY
Sejahtera,I-MONEY
untuk,I-MONEY
pembayaran,I-MONEY
fee,I-MONEY
kepada,I-MONEY
Sdr,I-MONEY
Sugeng,I-MONEY
selaku,I-MONEY
pencari,I-MONEY
investor,I-MONEY
sebesar,I-MONEY
Rp450000000000,I-MONEY
empat,I-MONEY
miliar,I-MONEY
lima,I-MONEY
ratus,I-MONEY
juta,I-MONEY
rupiah,I-MONEY
pembayaran,O
sebagian,O
uang,O
muka,O
dan,O
denda,O
kepada,O
Sugiono,O
selaku,O
pemilik,O
tanah,O
sebesar,O
Rp760000000000,B-MONEY
tujuh,O
miliar,O
enam,O
ratus,O
juta,O
rupiah,O
biaya,O
operasional,O
proyek,O
PT,O
Ide,O
Cipta,O
Realti,O
sebesar,O
Rp280000000000,B-MONEY
dua,B-MONEY
miliar,I-MONEY
delapan,I-MONEY
ratus,I-MONEY
juta,I-MONEY
rupiah,I-MONEY
pengembalian,O
hutang,O
pemegang,O
saham,O
atas,O
nama,O
Harry,O
H,O
Goenawidjaja,O
sebesar,O
Rp580000000000,B-MONEY
lima,B-MONEY
miliar,I-MONEY
delapan,I-MONEY
ratus,I-MONEY
juta,I-MONEY
rupiah,I-MONEY
dan,O
pengembalian,O
hutang,O
pemegang,O
saham,O
atas,O
nama,O
Terdakwa,O
sebesar,O
Rp230000000000,B-MONEY
dua,O
miliar,O
tiga,O
ratus,O
juta,O
rupiah,O
serta,O
pengembalian,O
ke,O
PT,O
MAJ,O
Bekasi,O
Sejahtera,O
karena,O
proyek,O
tidak,O
berjalan,O
sebesar,O
Rp1600000000000,O
enam,O
belas,O
miliar,O
rupiah,O
Bahwa,O
selain,O
itu,O
Terdakwa,O
telah,O
menempatkan,O
dana,O
dari,O
PT,O
MAJ,O
Bekasi,O
Sejahtera,O
Goenawidjaja,O
ke,O
dalam,O
bentuk,O
kegiatan,O
lain,O
untuk,O
kepentingan,O
pribadi,O
Terdakwa,O
bersama,O
dengan,O
Saksi,O
Harry,O
H,O
Goenawidjaja,O
dalam,O
bentuk,O
sewa,O
apartemen,O
angsuran,O
mobil,O
dan,O
pembayaran,O
kartu,O
kredit,O
Bahwa,O
dengan,O
demikian,O
perbuatan,O
Terdakwa,O
bersama,O
dengan,O
Saksi,O
Harry,O
H,O
Goenawidjaja,O
tersebut,O
yang,O
telah,O
menggunakan,O
atau,O
melakukan,O
perbuatan,O
lain,O
atas,O
harta,O
kekayaan,O
yang,O
diketahui,O
atau,O
patut,O
diduganya,O
merupakan,O
hasil,O
tindak,O
pidana,O
untuk,O
kegiatan,O
yang,O
tidak,O
sebagaimana,O
mestinya,O
use,O
of,O
another,O
activity,O
seperti,O
membayar,O
kartu,O
kredit,O
cicilan,O
kendaraan,O
atau,O
sewa,O
apartemen,O
ponzi,O
scheme,O
merupakan,O
tindak,O
pidana,O
pencucian,O
uang,O
melanggar,O
Pasal,O
372,O
KUHP,O
juncto,O
Pasal,O
55,O
Ayat,O
1,O
ke1,O
KUHP,O
dan,O
Pasal,O
3,O
UndangUndang,O
Nomor,O
8,O
Tahun,O
2010,O
tentang,O
Pencegahan,O
dan,O
Pemberantasan,O
Tindak,O
Pidana,O
Pencucian,O
Uang,O
juncto,O
Pasal,O
55,O
Ayat,O
1,O
ke1,O
KUHP,O
sebagaimana,O
telah,O
tepat,O
dan,O
benar,O
dipertimbangkan,O
judex,O
facti,O
Pengadilan,O
Negeri,O
Jakarta,O
Selatan,O
dalam,O
Putusan,O
Nomor,O
833PidB2020PN,O
JktSel,O
tanggal,O
28,O
Januari,O
2021,O
Menimbang,O
bahwa,O
dengan,O
demikian,O
Mahkamah,O
Agung,O
berpendapat,O
perbuatan,O
Terdakwa,O
telah,O
memenuhi,O
unsurunsur,O
pidana,O
dalam,O
Pasal,O
372,O
KUHP,O
juncto,O
Pasal,O
55,O
Ayat,O
1,O
ke1,O
KUHP,O
dan,O
Pasal,O
3,O
UndangUndang,O
Nomor,O
8,O
Tahun,O
2010,O
tentang,O
Pencegahan,O
dan,O
Pemberantasan,O
Tindak,O
Pidana,O
Pencucian,O
Uang,O
juncto,O
Pasal,O
55,O
Ayat,O
1,O
ke1,O
KUHP,O
sebagaimana,O
didakwakan,O
dalam,O
dakwaan,O
Kesatu,O
dan,O
dakwaan,O
Kedua,O
Primair,O
maka,O
Terdakwa,O
tersebut,O
telah,O
terbukti,O
bersalah,O
dan,O
dijatuhi,O
pidana,O
Menimbang,O
bahwa,O
berdasarkan,O
pertimbangan,O
tersebut,O
maka,O
permohonan,O
kasasi,O
dari,O
Pemohon,O
Kasasi,O
ITerdakwa,O
dinyatakan,O
ditolak,O
dan,O
permohonan,O
kasasi,O
dari,O
Pemohon,O
Kasasi,O
Penuntut,O
Umum,O
dikabulkan,O
dan,O
membatalkan,O
Putusan,O
Pengadilan,O
Tinggi,O
DKI,O
Jakarta,O
Nomor,O
68PID2021,O
PT,O
DKI,O
tanggal,O
17,O
Mei,O
2021,O
yang,O
mengubah,O
Putusan,O
Pengadilan,O
Negeri,O
Jakarta,O
Selatan,O
Nomor,O
833PidB2020PN,O
JktSel,O
tanggal,O
28,O
Januari,O
2021,O
tersebut,O
untuk,O
kemudian,O
Mahkamah,O
Agung,O
mengadili,O
sendiri,O
perkara,O
ini,O
dengan,O
amar,O
putusan,O
sebagaimana,O
yang,O
akan,O
disebutkan,O
di,O
bawah,O
ini,O
Menimbang,O
bahwa,O
karena,O
Terdakwa,O
dipidana,O
maka,O
dibebani,O
untuk,O
membayar,O
biaya,O
perkara,O
pada,O
tingkat,O
kasasi,O
Mengingat,O
Pasal,O
372,O
KUHP,O
juncto,O
Pasal,O
55,O
Ayat,O
1,O
ke1,O
KUHP,O
dan,O
Pasal,O
3,O
UndangUndang,O
Nomor,O
8,O
Tahun,O
2010,O
tentang,O
Pencegahan,O
dan,O
Pemberantasan,O
Tindak,O
Pidana,O
Pencucian,O
Uang,O
juncto,O
Pasal,O
55,O
Ayat,O
1,O
ke,O
1,O
KUHP,O
UndangUndang,O
Nomor,O
8,O
Tahun,O
1981,O
tentang,O
Hukum,O
Acara,O
Pidana,O
UndangUndang,O
Nomor,O
48,O
Tahun,O
2009,O
tentang,O
Kekuasaan,O
Kehakiman,O
dan,O
UndangUndang,O
Nomor,O
14,O
Tahun,O
1985,O
tentang,O
Mahkamah,O
Agung,O
sebagaimana,O
telah,O
diubah,O
dengan,O
UndangUndang,O
Nomor,O
5,O
Tahun,O
2004,O
dan,O
Perubahan,O
Kedua,O
dengan,O
UndangUndang,O
Nomor,O
3,O
Tahun,O
2009,O
serta,O
peraturan,O
perundangundangan,O
lain,O
yang,O
bersangkutan,O
5,O
MENGADILI,O
Menolak,O
permohonan,O
kasasi,O
dari,O
Pemohon,O
Kasasi,O
ITERDAKWA,O
IRZA,O
IFDIAL,O
SE,O
tersebut,O
Mengabulkan,O
permohonan,O
kasasi,O
dari,O
Pemohon,O
Kasasi,O
PENUNTUT,O
UMUM,O
PADA,O
KEJAKSAAN,B-ORG
NEGERI,I-ORG
JAKARTA,I-ORG
SELATAN,I-ORG
tersebut,O
Membatalkan,O
Putusan,O
Pengadilan,O
Tinggi,O
DKI,O
Jakarta,O
Nomor,O
68PID,O
2021PT,O
DKI,O
tanggal,O
17,O
Mei,O
2021,O
yang,O
mengubah,O
Putusan,O
Pengadilan,O
Negeri,O
Jakarta,O
Selatan,O
Nomor,O
833PidB2020PN,O
JktSel,O
tanggal,O
28,O
Januari,O
2021,O
tersebut,O
MENGADILI,O
SENDIRI,O
Menyatakan,O
Terdakwa,O
IRZA,O
IFDIAL,O
SE,O
terbukti,O
secara,O
sah,O
dan,O
meyakinkan,O
bersalah,O
melakukan,O
tindak,O
pidana,O
Penggelapan,O
dan,O
pencucian,O
uang,O
Menjatuhkan,O
pidana,O
kepada,O
Terdakwa,O
oleh,O
karena,O
itu,O
dengan,O
pidana,O
penjara,O
selama,O
8,O
delapan,O
tahun,O
dan,O
pidana,O
denda,O
sebesar,O
Rp100000000000,O
satu,O
miliar,O
rupiah,O
dengan,O
ketentuan,O
apabila,O
pidana,O
denda,O
tersebut,O
tidak,O
dibayar,O
maka,O
diganti,O
dengan,O
pidana,O
kurungan,O
selama,O
6,O
enam,O
bulan,O
Menetapkan,O
lamanya,O
masa,O
penahanan,O
yang,O
telah,O
dijalani,O
Terdakwa,O
dikurangkan,O
seluruhnya,O
dari,O
pidana,O
yang,O
dijatuhkan,O
Menetapkan,O
barang,O
bukti,O
nomor,O
1,O
sampai,O
dengan,O
nomor,O
6,O
selengkapnya,O
sebagaimana,O
diuraikan,O
dalam,O
Putusan,O
Pengadilan,O
Negeri,O
Jakarta,O
Selatan,O
Nomor,O
833PidB2020PN,O
JktSel,O
tanggal,O
28,O
Januari,O
2021,O
yaitu,O
1,O
Disita,O
dari,O
Saksi,O
Tommy,O
Hermin,O
Santoso,O
disita,O
pada,O
tanggal,O
3,O
Desember,O
2019,O
dikembalikan,O
kepada,O
Saksi,O
Tommy,O
Hermin,O
Santoso,O
2,O
Disita,O
dari,O
Saksi,O
Tommy,O
Hermin,O
Santoso,O
disita,O
pada,O
tanggal,O
13,O
Februari,O
2020,O
dikembalikan,O
kepada,O
Saksi,O
Tommy,O
Hermin,O
Santoso,O
3,O
Disita,O
dari,O
Saksi,O
Mohammad,O
Hilman,O
Hazazi,O
Tsalatsa,O
disita,O
pada,O
tanggal,O
3,O
Desember,O
2019,O
dikembalikan,O
kepada,O
Saksi,O
Mohammad,O
Hilman,O
Hazazi,O
Tsalatsa,O
4,O
Disita,O
dari,O
Saksi,O
Harry,O
Agung,O
Marojahan,O
disita,O
pada,O
tanggal,O
4,O
Desember,O
2019,O
dikembalikan,O
kepada,O
Saksi,O
Harry,O
Agung,O
Marojahan,O
5,O
Disita,O
dari,O
Saksi,O
Sugiono,O
disita,O
pada,O
tanggal,O
2,O
Juni,O
2020,O
dikembalikan,O
kepada,O
Saksi,O
Sugiono,O
6,O
Disita,O
dari,O
Terdakwa,O
IRZA,O
IFDIAL,O
berupa,O
a,O
Uang,O
tunai,O
sebesar,O
Rp000,O
nol,O
rupiah,O
dari,O
rekening,O
BCA,O
Cabang,O
Permata,O
Hijau,O
Nomor,O
1780033777,O
atas,O
nama,O
Harry,O
H,O
Goenawidjaja,O
dikembalikan,O
kepada,O
Terdakwa,O
IRZA,O
IFDIAL,O
b,O
Uang,O
tunai,O
sebesar,O
Rp10928548600,O
seratus,O
sembilan,O
juta,O
dua,O
ratus,O
delapan,O
puluh,O
lima,O
ribu,O
empat,O
ratus,O
delapan,O
puluh,O
enam,O
rupiah,O
dari,O
rekening,O
BCA,O
KCP,O
Atrium,O
Setiabudi,O
Jakarta,O
Selatan,O
nomor,O
7660122448,O
atas,O
nama,O
IRZA,O
IFDIAL,O
dikembalikan,O
kepada,O
Saksi,O
Tommy,O
Hermin,O
Santoso,O
5,O
Membebankan,O
kepada,O
Terdakwa,O
untuk,O
membayar,O
biaya,O
perkara,O
pada,O
tingkat,O
kasasi,O
sebesar,O
Rp250000,O
dua,O
ribu,O
lima,O
ratus,O
rupiah,O
Demikianlah,O
diputuskan,O
dalam,O
rapat,O
musyawarah,O
Majelis,O
Hakim,O
pada,O
hari,O
Senin,O
tanggal,O
29,O
Agustus,O
2022,O
oleh,O
Dr,B-PER
H,I-PER
Suhadi,I-PER
SH,I-PER
MH,I-PER
Hakim,O
Agung,O
yang,O
ditetapkan,O
oleh,O
Ketua,O
Mahkamah,O
Agung,O
sebagai,O
Ketua,O
Majelis,O
Soesilo,O
SH,O
MH,O
dan,O
Suharto,O
SH,O
MHum,O
HakimHakim,O
Agung,O
sebagai,O
HakimHakim,O
Anggota,O
putusan,O
tersebut,O
diucapkan,O
dalam,O
sidang,O
terbuka,O
untuk,O
umum,O
pada,O
hari,O
dan,O
tanggal,O
itu,O
juga,O
oleh,O
Ketua,O
Majelis,O
yang,O
dihadiri,O
HakimHakim,O
Anggota,O
serta,O
Emmy,O
Evelina,O
Marpaung,O
SH,O
Panitera,O
Pengganti,O
dengan,O
tidak,O
dihadiri,O
oleh,O
Penuntut,O
Umum,O
dan,O
Terdakwa,O
HakimHakim,O
Anggota,O
Ketua,O
Majelis,O
TtdSoesilo,O
SH,O
MH,O
TtdDr,O
H,O
Suhadi,O
SH,O
MH,O
TtdSuharto,O
SH,O
MHum,O
Panitera,O
Pengganti,O
TtdEmmy,O
Evelina,O
Marpaung,O
SH,O
Untuk,O
salinan,O
MAHKAMAH,O
AGUNG,O
RI,O
an,O
Panitera,O
Panitera,O
Muda,O
Pidana,O
Khusus,O
Dr,B-PER
Sudharmawatiningsih,I-PER
SH,I-PER
MHum,I-PER
NIP,O
19611010,O
198612,O
2,O
001,O
PUTUSAN,O
Nomor,O
779,O
KPidSus2024,O
DEMI,O
KEADILAN,O
BERDASARKAN,O
KETUHANAN,O
YANG,O
MAHA,O
ESA,O
MAHKAMAH,O
AGUNG,O
memeriksa,O
perkara,O
tindak,O
pidana,O
khusus,O
pada,O
tingkat,O
kasasi,O
yang,O
dimohonkan,O
oleh,O
Penuntut,O
Umum,O
pada,O
Kejaksaan,O
Negeri,O
Jakarta,O
Selatan,O
telah,O
memutus,O
perkara,O
Terdakwa,O
Nama,O
FRANCIS,B-PER
CHUKWUMA,I-PER
ANCOR,I-PER
Tempat,O
lahir,O
Benin,B-LOC
city,I-LOC
Umurtanggal,O
lahir,O
35,O
tahun26,O
Mei,O
1988,O
Jenis,O
kelamin,O
Lakilaki,O
Kewarganegaraan,O
Indonesia,O
Tempat,O
tinggal,O
Green,O
Village,O
Blok,O
BC,O
Nomor,O
11,O
Cipondoh,O
Tangerang,O
Agama,O
Kristen,O
Pekerjaan,O
Wiraswasta,O
Terdakwa,O
tersebut,O
ditangkap,O
pada,O
tanggal,O
29,O
Januari,O
2023,O
Terdakwa,O
tersebut,O
berada,O
dalam,O
tahanan,O
Rumah,O
Tahanan,O
Negara,O
Rutan,O
sejak,O
tanggal,O
29,O
Januari,O
2023,O
sampai,O
dengan,O
sekarang,O
Terdakwa,O
diajukan,O
di,O
depan,O
persidangan,O
Pengadilan,O
Negeri,O
Jakarta,O
Selatan,O
karena,O
didakwa,O
dengan,O
Dakwaan,O
Tunggal,O
yaitu,O
perbuatan,O
Terdakwa,O
diatur,O
dan,O
diancam,O
pidana,O
dalam,O
Pasal,O
5,O
UndangUndang,O
Nomor,O
8,O
Tahun,O
2010,O
tentang,O
Pencegahan,O
dan,O
Pemberantasan,O
Tindak,O
Pidana,O
Pencucian,O
Uang,O
juncto,O
Pasal,O
55,O
ayat,O
1,O
ke1,O
KUHP,O
Mahkamah,O
Agung,O
tersebut,O
Membaca,O
Tuntutan,O
Pidana,O
Penuntut,O
Umum,O
pada,O
Kejaksaan,O
Negeri,O
Jakarta,O
Selatan,O
tanggal,O
29,O
September,O
2023,O
sebagai,O
berikut,O
1,O
Menyatakan,O
Terdakwa,O
FRANCIS,O
CHUKWUMA,O
ANCOR,O
terbukti,O
melakukan,O
tindak,O
pidana,O
melakukan,O
menyuruhlakukan,O
atau,O
turut,O
serta,O
melakukan,O
tindak,O
pidana,O
Pencucian,O
Uang,O
sebagaimana,O
diatur,O
dalam,O
Pasal,O
5,O
juncto,O
Pasal,O
2,O
ayat,O
1,O
UndangUndang,O
Nomor,O
8,O
Tahun,O
2010,O
tentang,O
Pencegahan,O
dan,O
Pemberantasan,O
Pencucian,O
Uang,O
Menjatuhkan,O
pidana,O
penjara,O
terhadap,O
Terdakwa,O
selama,O
2,O
dua,O
tahun,O
dan,O
6,O
enam,O
bulan,O
dikurangi,O
selama,O
Terdakwa,O
berada,O
dalam,O
tahanan,O
dan,O
pidana,O
denda,O
sebesar,O
Rp50000000000,O
lima,O
ratus,O
juta,O
rupiah,O
subsider,O
2,O
dua,O
bulan,O
kurungan,O
dengan,O
perintah,O
agar,O
Terdakwa,O
tetap,O
ditahan,O
Menyatakan,O
barang,O
bukti,O
berupa,O
1,O
1,O
satu,O
unit,O
telepon,O
genggam,O
merk,O
Samsung,B-MISC
tipe,I-MISC
Galaxy,B-MISC
A1,I-MISC
warna,O
hitam,O
IMEI,O
1,O
354207112836649,O
IMEI,O
2,O
3542071128366491,O
2,O
1,O
satu,O
buah,O
SIM,B-MISC
card,I-MISC
XL,B-MISC
Axiata,I-MISC
iccid,O
8962115339186576234,O
3,O
1,O
satu,O
buah,O
SIM,O
card,O
iccid,O
192415073221,O
4,O
1,O
satu,O
unit,O
telepon,O
genggam,O
merk,O
Oppo,B-MISC
tipe,I-MISC
Reno,I-MISC
8,O
Z,O
5G,O
warna,O
hitam,O
IMEI,O
1,O
861682060738013,O
IMEI,O
2,O
861682060738005,O
5,O
1,O
satu,O
unit,O
telepon,O
genggam,O
merk,O
Oppo,O
tipe,O
Reno,O
5,O
Z,O
4G,O
warna,O
hitam,O
IMEI,O
1,O
865755056724134,O
IMEI,O
2,O
865755056724126,O
6,O
1,O
satu,O
buah,O
SIM,O
card,O
Indosat,B-MISC
Ooredoo,I-MISC
iccid,O
62013000282430909,O
u,O
7,O
A1,O
satubuah,O
SIM,O
card,O
mtn,O
iccid,O
42201901128k,O
8,O
1,O
satubuah,O
memory,O
card,O
kapasitas,O
32,O
Gb,O
9,O
1,O
satu,O
unit,O
telepon,O
genggam,O
merk,O
Oppo,B-MISC
tipe,I-MISC
A17,I-MISC
warna,O
biru,O
IMEI,O
1,O
868765069324951,O
IMEI,O
2,O
868765069324944,O
101,O
satu,O
unit,O
telepon,O
genggam,O
merk,O
Samsung,O
tipe,O
Galaxy,B-MISC
A04e,I-MISC
warna,O
hitam,O
IMEI,O
1,O
352129773726469,O
IMEI,O
2,O
352129773726467,O
111,O
satu,O
unit,O
telepon,O
genggam,O
merk,O
Samsung,B-MISC
tipe,I-MISC
SMT875,I-MISC
warna,O
silver,O
IMEI,O
1,O
3562787800117606,O
serial,B-MISC
number,I-MISC
RR2N800APYB,I-MISC
Masingmasing,I-MISC
dirampas,I-MISC
untuk,O
dimusnahkan,O
12,O
40,O
empat,O
puluh,O
lembar,O
pecahan,O
uang,O
Dollar,O
Naira,O
nominal,O
1000,O
13,O
4,O
empat,O
lembar,O
pecahan,O
uang,O
Dollar,O
Naira,O
nominal,O
500,O
14,O
1,O
satu,O
lembar,O
pecahan,O
uang,O
Dollar,O
Naira,O
nominal,O
100,O
15,O
1,O
satu,O
lembar,O
pecahan,O
uang,O
Dollar,O
Naira,O
nominal,O
200,O
16,O
1,O
satu,O
lembar,O
pecahan,O
uang,O
Dollar,O
Naira,O
nominal,O
50,O
Dirampas,O
untuk,O
Negara,O
171,O
satu,O
SIM,O
C,O
an,O
FRANCIS,O
CHUKWUMA,O
A,O
dengan,O
nomer,O
register,O
12058805000701,O
1,O
satu,O
passport,O
dengan,O
nomer,O
A05203227,O
an,O
